hour,zone,total_ridership
2024-01-11 09:00:00.000000 UTC,Outside,187554
2024-01-11 10:00:00.000000 UTC,Inside,25768
2024-01-11 10:00:00.000000 UTC,Outside,120173
2024-01-11 11:00:00.000000 UTC,Inside,25049
2024-01-11 11:00:00.000000 UTC,Outside,105610
2024-01-11 12:00:00.000000 UTC,Inside,27505
2024-01-11 12:00:00.000000 UTC,Outside,113297
2024-01-11 13:00:00.000000 UTC,Inside,30937
2024-01-11 13:00:00.000000 UTC,Outside,127241
2024-01-11 14:00:00.000000 UTC,Inside,39812
2024-01-11 14:00:00.000000 UTC,Outside,163813
2024-01-11 15:00:00.000000 UTC,Inside,55163
2024-01-11 15:00:00.000000 UTC,Outside,208334
2024-01-11 16:00:00.000000 UTC,Inside,72081
2024-01-11 16:00:00.000000 UTC,Outside,240163
2024-01-11 17:00:00.000000 UTC,Inside,103058
